University of Mancheseter,Accounting BSc (3 or 4 years),07808/bsc-accounting/
University of Mancheseter,Accounting and Finance BAEcon (3 years),05151/baecon-accounting-and-finance/
University of Mancheseter,Accounting with Industrial/Professional Experience BSc (4 years),09937/bsc-accounting-with-industrial-professional-experience/
University of Mancheseter,Actuarial Science and Mathematics BSc (3 years),07383/bsc-actuarial-science-and-mathematics/
University of Mancheseter,Adult Nursing BNurs (3 years),10971/bnurs-adult-nursing/
University of Mancheseter,Aerospace Engineering BEng (3 years),03333/beng-aerospace-engineering/
University of Mancheseter,Aerospace Engineering MEng (4 years),03826/meng-aerospace-engineering/
University of Mancheseter,Aerospace Engineering with an Integrated Foundation Year BEng/MEng,12948/beng-meng-aerospace-engineering-with-an-integrated-foundation-year/
University of Mancheseter,Aerospace Engineering with Industrial Experience MEng (5 years),03827/meng-aerospace-engineering-with-industrial-experience/
University of Mancheseter,Aerospace Engineering with Management MEng (4 years),03829/meng-aerospace-engineering-with-management/
University of Mancheseter,American Studies BA (4 years),11806/ba-american-studies/
University of Mancheseter,American Studies BA (3 years),12037/ba-american-studies/
University of Mancheseter,Anatomical Sciences BSc (3 years),00514/bsc-anatomical-sciences/
University of Mancheseter,Anatomical Sciences MSci (4 years),10109/msci-anatomical-sciences/
University of Mancheseter,Anatomical Sciences with a Modern Language BSc (4 years),00512/bsc-anatomical-sciences-with-a-modern-language/
University of Mancheseter,Anatomical Sciences with Entrepreneurship BSc (4 years),18036/bsc-anatomical-sciences-with-entrepreneurship/
University of Mancheseter,Anatomical Sciences with Industrial/Professional Experience BSc (4 years),00511/bsc-anatomical-sciences-with-industrial-professional-experience/
University of Mancheseter,Ancient History BA (3 years),00169/ba-ancient-history/
University of Mancheseter,Ancient History and Archaeology BA (3 years),00167/ba-ancient-history-and-archaeology/
University of Mancheseter,Ancient History and History BA (3 years),10353/ba-ancient-history-and-history/
University of Mancheseter,Arabic and a Modern European Language BA (4 years),10008/ba-arabic-and-a-modern-european-language/
University of Mancheseter,Arabic and Politics BA (4 years),11157/ba-arabic-and-politics/
University of Mancheseter,Arabic Studies BA (4 years),00173/ba-arabic-studies/
University of Mancheseter,Archaeology BA (3 years),00175/ba-archaeology/
University of Mancheseter,Archaeology and Ancient History BA (3 years),00167/ba-archaeology-and-ancient-history/
University of Mancheseter,Archaeology and Anthropology BA (3 years),00043/ba-archaeology-and-anthropology/
University of Mancheseter,Archaeology and History BA (3 years),10355/ba-archaeology-and-history/
University of Mancheseter,Architecture BA (3 years),00178/ba-architecture/
University of Mancheseter,Art History and Arabic BA (4 years),12764/ba-art-history-and-arabic/
University of Mancheseter,Art History and Chinese BA (4 years),12765/ba-art-history-and-chinese/
University of Mancheseter,Art History and English Literature BA (3 years),12152/ba-art-history-and-english-literature/
University of Mancheseter,Art History and French BA (4 years),12766/ba-art-history-and-french/
University of Mancheseter,Art History and German BA (4 years),12767/ba-art-history-and-german/
University of Mancheseter,Art History and History BA (3 years),10356/ba-art-history-and-history/
University of Mancheseter,Art History and Italian BA (4 years),12768/ba-art-history-and-italian/
University of Mancheseter,Art History and Japanese BA (4 years),12769/ba-art-history-and-japanese/
University of Mancheseter,Art History and Portuguese BA (4 years),12770/ba-art-history-and-portuguese/
University of Mancheseter,Art History and Russian BA (4 years),12771/ba-art-history-and-russian/
University of Mancheseter,Art History and Spanish BA (4 years),12773/ba-art-history-and-spanish/
University of Mancheseter,Artificial Intelligence BSc (3 years),00517/bsc-artificial-intelligence/
University of Mancheseter,Artificial Intelligence MEng (4 years),01594/meng-artificial-intelligence/
University of Mancheseter,Artificial Intelligence with an Integrated Foundation Year BSc/MEng,12954/bsc-meng-artificial-intelligence-with-an-integrated-foundation-year/
University of Mancheseter,Artificial Intelligence with Industrial Experience BSc (4 years),00518/bsc-artificial-intelligence-with-industrial-experience/
University of Mancheseter,Artificial Intelligence with Industrial Experience MEng (5 years),09628/meng-artificial-intelligence-with-industrial-experience/
University of Mancheseter,Biochemistry BSc (3 years),00521/bsc-biochemistry/
University of Mancheseter,Biochemistry MSci (4 years),10110/msci-biochemistry/
University of Mancheseter,Biochemistry with a Modern Language BSc (4 years),00520/bsc-biochemistry-with-a-modern-language/
University of Mancheseter,Biochemistry with Entrepreneurship BSc (4 years),18037/bsc-biochemistry-with-entrepreneurship/
University of Mancheseter,Biochemistry with Industrial/Professional Experience BSc (4 years),00519/bsc-biochemistry-with-industrial-professional-experience/
University of Mancheseter,Biology BSc (3 years),00524/bsc-biology/
University of Mancheseter,Biology MSci (4 years),10111/msci-biology/
University of Mancheseter,Biology with a Modern Language BSc (4 years),00527/bsc-biology-with-a-modern-language/
University of Mancheseter,Biology with Entrepreneurship BSc (4 years),18038/bsc-biology-with-entrepreneurship/
University of Mancheseter,Biology with Industrial/Professional Experience BSc (4 years),00526/bsc-biology-with-industrial-professional-experience/
University of Mancheseter,Biology with Science & Society BSc (3 years),00485/bsc-biology-with-science-and-society/
